"filename", "language", "JSON", "Docker", "C++", "Markdown", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\dev\cpp-judger-project\backend\myapp\temp\168\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\169\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\16\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\170\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\171\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\172\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\173\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\174\main.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\cpp-judger-project\backend\myapp\temp\175\main.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\dev\cpp-judger-project\backend\myapp\temp\176\main.cpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\dev\cpp-judger-project\backend\myapp\temp\177\main.cpp", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\dev\cpp-judger-project\backend\myapp\temp\178\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\179\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\17\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\180\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\181\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\182\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\183\main.cpp", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\184\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\185\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\186\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\187\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\188\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\189\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\18\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\190\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\191\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\192\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\193\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\194\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\cpp-judger-project\backend\myapp\temp\195\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
